+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                      ;
+----------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                  ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
; my_qsys|sw_wrapper_0|sw_core|PEs[102].u_PE_single                          ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[101].u_PE_single                          ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[100].u_PE_single                          ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[99].u_PE_single                           ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[98].u_PE_single                           ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[97].u_PE_single                           ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[96].u_PE_single                           ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[95].u_PE_single                           ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[94].u_PE_single                           ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[93].u_PE_single                           ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[92].u_PE_single                           ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[91].u_PE_single                           ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[90].u_PE_single                           ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[89].u_PE_single                           ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[88].u_PE_single                           ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[87].u_PE_single                           ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[86].u_PE_single                           ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[85].u_PE_single                           ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[84].u_PE_single                           ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[83].u_PE_single                           ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[82].u_PE_single                           ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[81].u_PE_single                           ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[80].u_PE_single                           ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[79].u_PE_single                           ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[78].u_PE_single                           ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[77].u_PE_single                           ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[76].u_PE_single                           ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[75].u_PE_single                           ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[74].u_PE_single                           ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[73].u_PE_single                           ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[72].u_PE_single                           ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[71].u_PE_single                           ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[70].u_PE_single                           ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[69].u_PE_single                           ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[68].u_PE_single                           ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[67].u_PE_single                           ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[66].u_PE_single                           ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[65].u_PE_single                           ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[64].u_PE_single                           ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[63].u_PE_single                           ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[62].u_PE_single                           ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[61].u_PE_single                           ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[60].u_PE_single                           ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[59].u_PE_single                           ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[58].u_PE_single                           ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[57].u_PE_single                           ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[56].u_PE_single                           ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[55].u_PE_single                           ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[54].u_PE_single                           ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[53].u_PE_single                           ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[52].u_PE_single                           ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[51].u_PE_single                           ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[50].u_PE_single                           ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[49].u_PE_single                           ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[48].u_PE_single                           ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[47].u_PE_single                           ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[46].u_PE_single                           ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[45].u_PE_single                           ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[44].u_PE_single                           ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[43].u_PE_single                           ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[42].u_PE_single                           ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[41].u_PE_single                           ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[40].u_PE_single                           ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[39].u_PE_single                           ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[38].u_PE_single                           ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[37].u_PE_single                           ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[36].u_PE_single                           ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[35].u_PE_single                           ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[34].u_PE_single                           ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[33].u_PE_single                           ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[32].u_PE_single                           ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[31].u_PE_single                           ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[30].u_PE_single                           ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[29].u_PE_single                           ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[28].u_PE_single                           ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[27].u_PE_single                           ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[26].u_PE_single                           ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[25].u_PE_single                           ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[24].u_PE_single                           ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[23].u_PE_single                           ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[22].u_PE_single                           ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[21].u_PE_single                           ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[20].u_PE_single                           ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[19].u_PE_single                           ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[18].u_PE_single                           ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; my_qsys|sw_wrapper_0|sw_core|PEs[17].u_PE_single                           ; 88    ; 0              ; 20           ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
